species_or_group,role,local_status,recommended_current_treatment,final_needed_for_predictive_model,notes
water,aqueous solvent,available_in_epcsaft_package_expected,use_package_parameter,verified package parameter and units,"Core aqueous solvent."
Li+,target ion,available_in_epcsaft_package_expected,use_package_ion_parameter,verified ion parameter and water/organic transfer behavior,"Target product species."
Na+,major competitor,available_in_epcsaft_package_expected,use_package_ion_parameter,verified ion parameter and binary interactions,"Main Li/Na selectivity competitor."
K+,competing cation,available_in_epcsaft_package_expected,use_package_ion_parameter,verified ion parameter and binary interactions,"Include in future full feed closure."
Mg2+,pretreated feed burden,available_but_model_support_may_be_limited,explicit_pretreatment_assumption,pretreatment-removal basis only,"Not an active extraction-equilibrium target in the current Li/Na showcase."
Ca2+,pretreated feed burden,reference_only_not_runtime_confirmed,explicit_pretreatment_assumption,pretreatment-removal basis only,"Largest divalent burden in MS-2; handled upstream of the Li/Na extraction demonstration."
Sr2+,pretreated feed burden,unverified,pretreatment_or_pass_through_placeholder,pretreatment-removal basis only,"Source ion only; not in current Li/Na bridge."
Ba2+,pretreated feed burden,unverified,pretreatment_or_pass_through_placeholder,pretreatment-removal basis only,"Source ion only; not in current Li/Na bridge."
Cl-,major anion,available_in_epcsaft_package_expected,use_package_ion_parameter,validated with high-TDS feed,"Dominant anion and charge/salinity basis."
Br-,brine anion,unverified,pass_through_or_surrogate_as_cl_for_skeleton,parameter and interaction validation,"Important brine marker; not current Li/Na bridge species."
SO4--,pretreated/pass-through anion context,partial_reference_only,pass_through_or_pretreatment_context,pretreatment/pass-through basis only,"Low but relevant to scaling/charge; not an extraction-equilibrium target."
HBTA,extractant,missing_or_unverified,effective_capacity_in_wrapper,pure parameters and association/chemistry representation,"Main Phase 4 blocker."
TOPO,synergist,missing,use literature concentration and keep parameter gap,pure parameters and interaction/association representation,"Main Phase 4 blocker; TOP proxy is not the same species."
sulfonated_kerosene,diluent,missing_or_unverified,use explicit diluent-surrogate decision,pseudo-component or defensible surrogate parameters,"Not a single pure component."
kerosene/alkane surrogate,diluent surrogate,possible_but_not_chosen,choose n-dodecane/n-cetane/hexane only with caveat,documented parameter and sensitivity check,"Needed if sulfonated kerosene cannot be parameterized."
Li(BTA)(TOPO)n,organic complex,missing,use fitted reactive-stage bridge,complex pseudo-species or association-site representation,"Needed for true predictive reactive model."
Ca/Mg complexes,out-of-scope complexes,missing,pretreatment before extraction,not needed for active Li/Na showcase,"Do not add to the current objective unless a future branch explicitly models residual divalent competition."
