source_rank,zotero_key,citation_key,title,doi,folder_context,active_case_role,usable_parameter_or_data,modeling_caveat,next_action
1,JUNBXVTI,Gando-Ferreira2025,Influence Mechanism of Coexisting Ions on the Extraction Efficiency of Lithium from Oil and Gas Field Water,10.3390/W17152258,Lithium Recovery; Organic Solvents,flagship_extraction_case,"HBTA/TOPO/sulfonated-kerosene process conditions; field-water extraction; stage anchor; impurity inhibition trends","Not a complete ePC-SAFT parameter source; current bridge remains calibrated","Use as process/stage validation anchor and digitize key curves if needed"
2,9LJWDC7E,Zhang2017,Selective extraction of lithium from alkaline brine using HBTA-TOPO synergistic extraction system,10.1016/j.seppur.2017.07.028,Organic Solvents,mechanistic_anchor,"2 HBTA : 1 TOPO : 1 Li stoichiometry; Li/Na selectivity; extraction/stripping/scrubbing conditions","Alkaline brine, not produced water; no full ePC-SAFT parameter set","Use for reaction network and apparent-equilibrium fitting"
3,AEL6ZEPG,Zhang2018,Recovery of lithium from alkaline brine by solvent extraction with beta-diketone,10.1016/j.hydromet.2017.10.029,Organic Solvents,secondary_process_anchor,"HBTA/TOPO/kerosene extraction and mixer-settler evidence","Not source-specific produced water; no full parameter payload","Use as secondary HBTA/TOPO process support"
4,GK598336,Hanada2021,Synergistic Deep Eutectic Solvents for Lithium Extraction,10.1021/acssuschemeng.0c07606,Organic Solvents,pseudo_component_fit_candidate,"HBTA/TOPO and HTTA/TOPO DES physical properties; density and viscosity; selectivity evidence","DES chemistry differs from sulfonated-kerosene system; density data are limited","Use for HBTA/TOPO or HTTA/TOPO pseudo-component fitting target"
5,3NMV5MF2,Rezaee2026,Thermodynamic modeling of lithium extraction from synthetic brine using deep eutectic solvents: A PC-SAFT approach,10.1016/j.fluid.2026.114737,Organic Solvents; Ionic Liquid Solvents/ePC-SAFT,regression_smoke_test,"DES and TOPO PC-SAFT-style parameters; organic product pseudo-species; binary interaction values; density correlation","Organic phase uses PC-SAFT and aqueous phase uses ePC-SAFT; not a full reactive ePC-SAFT HBTA/TOPO solution","Run diagnostic ePC-SAFT package regression/equilibrium smoke test and record limits"
6,BLUVRJ9Q,Jang2017,Lithium recovery from shale gas produced water using solvent extraction,10.1016/J.APGEOCHEM.2017.01.016,Lithium Recovery,comparison_case,"Produced-water solvent extraction with D2EHPA/TBP; pretreatment and low-recovery baseline","Current repo implementation remains placeholder-heavy and less selective","Use as comparison/limitation slide"
7,V7EN7V3S,Kia2024,Solvent extraction of lithium from brines with high magnesium/lithium ratios: investigation on parameter interactions,10.1007/s11356-024-34617-8,Organic Solvents,optional_backup,"TBP/FeCl3 high-Mg brine extraction behavior","Different acid/Fe chemistry; not produced-water flagship","Use only if HBTA/TOPO and DES paths stall"
8,FGAE94M4,Hubach2024,Li Extraction from Aqueous Medium Using Tetracyanoborate Ionic Liquids: Experiments and ePC-SAFT Modeling,10.1021/acs.jced.4c00074,Ionic Liquid Solvents/ePC-SAFT,method_reference_only,"ePC-SAFT electrolyte/organic extraction modeling workflow","Ionic-liquid chemistry is excluded from active benchmark","Use only for ePC-SAFT method comparison"
9,SLMXCPZM,Yu2024,Highly efficient lithium extraction from magnesium-rich brines with ionic liquids,10.1016/j.ces.2023.119682,Ionic Liquid Solvents/ePC-SAFT,method_reference_only,"ePC-SAFT-style reactive/electrolyte extraction workflow and local repo scripts","Ionic-liquid chemistry is excluded from active benchmark","Use only for method background and package diagnostics"
10,CGJJSXYG,Kanagasundaram2024,Lithium extraction from aqueous solutions with solvent extraction and related processes: A review,10.1016/j.ccr.2024.215727,Organic Solvents; Review,review_context,"Broad solvent-class framing and practical extraction issues","Review claims should be traced to primary papers for quantitative deck claims","Use for context, not final hard numbers"
